origin,destination,driving_distance,from_center,to_center
"Auenbruggerplatz 29, GRAZ","808 Route de Lennik, Brussels",1119.213,AGATP,BBRTP
"Auenbruggerplatz 29, GRAZ","Pauwelstr. 30, AACHEN",968.273,AGATP,GAKTP
"Auenbruggerplatz 29, GRAZ","Moorenstrasse 5, DUESSELDORF",930.553,AGATP,GDUTP
"Auenbruggerplatz 29, GRAZ","Stadtfelddamm 65, HANNOVER",958.19,AGATP,GHOTP
"Auenbruggerplatz 29, GRAZ","Theodor Kutzer Ufer 1-3, MANNHEIM",717.522,AGATP,GMATP
"Auenbruggerplatz 29, GRAZ","Lindenallee, Essen",953.876,AGATP,GNWOR
"Auenbruggerplatz 29, GRAZ","Pecsi ut 4., Szeged",509.815,AGATP,HSZTP
"Auenbruggerplatz 29, GRAZ","Dr. Molewaterplein 40, ROTTERDAM",1161.891,AGATP,NRDTP
"De Pintelaan 185, GENT","Auenbruggerplatz 29, GRAZ",1155.516,BGETP,AGATP
"De Pintelaan 185, GENT","De Pintelaan 185, GENT",0,BGETP,BGETP
"De Pintelaan 185, GENT","Stenglinstrasse 2, AUGSBURG",725.767,BGETP,GAUTP
"De Pintelaan 185, GENT","Hufelandstrasse 55, ESSEN",250.945,BGETP,GESTP
"De Pintelaan 185, GENT","Kirrberger Strasse Geb. 41, HOMBURG/SAAR",397.336,BGETP,GHSTP
"De Pintelaan 185, GENT","Ismaningerstr. 22, MUENCHEN",802.415,BGETP,GMHTP
"De Pintelaan 185, GENT","Walter-Koehn-str. 1A, Leipzig",705.539,BGETP,GOSOR
"De Pintelaan 185, GENT","Karolina ut 19-21., Budapest",1402.87,BGETP,HUNOR
"De Pintelaan 185, GENT","Postbus 2060, ROTTERDAM",157.529,BGETP,NRSTP
"De Pintelaan 185, GENT","Anichstrasse 35, INNSBRUCK",886.83,BGETP,AIBTP
"De Pintelaan 185, GENT","10, Avenue Hippocrate, Brussels",66.375,BGETP,BLATP
"De Pintelaan 185, GENT","Universitaetsklinik, BOCHUM",268.713,BGETP,GBBTP
"De Pintelaan 185, GENT","Pacelli Allee 4, FULDA",550.897,BGETP,GFDTP
"De Pintelaan 185, GENT","Lessingstrasse 1, JENA",633.995,BGETP,GJETP
"De Pintelaan 185, GENT","Haifa-Allee 2, Mainz",431.316,BGETP,GMIOR
"De Pintelaan 185, GENT","Organisationsburo, REGENSBURG",765.328,BGETP,GRBTP
"De Pintelaan 185, GENT","4 Rue Barble, LUXEMBOURG",270.442,BGETP,LLXTP
"De Pintelaan 185, GENT","Heidelberglaan 100, UTRECHT",183.333,BGETP,NUTTP
"De Pintelaan 185, GENT","St. Veiterstrasse 47, KLAGENFURT/KAERNTEN",1151.588,BGETP,AKTTP
"De Pintelaan 185, GENT","Herestraat 49, LEUVEN",81.436,BGETP,BLETP
"De Pintelaan 185, GENT","Herestraat 49, LEUVEN",81.436,BGETP,BLMTP
"De Pintelaan 185, GENT","Campus Virchow-Klinikum, BERLIN",775.396,BGETP,GBCTP
"De Pintelaan 185, GENT","Universitaetsklinik, Haus 33 A, FRANKFURT/MAIN",449.573,BGETP,GFMTP
"De Pintelaan 185, GENT","Arnold-Heller-Strasse 3, KIEL",699.839,BGETP,GKITP
"De Pintelaan 185, GENT","Marchioninistr. 15, Munich",789.512,BGETP,GMLTP
"De Pintelaan 185, GENT","Ernst-Heydemann-Strasse 8, ROSTOCK",787.516,BGETP,GROTP
"De Pintelaan 185, GENT","Meibergdreef 9, Amsterdam",207.953,BGETP,NAETP
"De Pintelaan 185, GENT","Zaloska 7, LJUBLJANA",1217.525,BGETP,SLOTP
"De Pintelaan 185, GENT","Fadingerstrasse 1, LINZ",992.883,BGETP,AOETP
"De Pintelaan 185, GENT","Avenue de l Hopital, LIEGE",159.684,BGETP,BLGTP
"De Pintelaan 185, GENT","Hindenburgdamm 30, Berlin",766.843,BGETP,GBETP
"De Pintelaan 185, GENT","Hugstetterstrasse 55, FREIBURG IM BREISGAU",577.841,BGETP,GFRTP
"De Pintelaan 185, GENT","Joseph  Stelzmannstrasse 9, KOELN",257.973,BGETP,GKKTP
"De Pintelaan 185, GENT","Albert Schweitzerstrasse 33, MUENSTER",344.193,BGETP,GMNTP
"De Pintelaan 185, GENT","Transplantationszentrum, STUTTGART",579.598,BGETP,GSTTP
"De Pintelaan 185, GENT","De Boelelaan 1117, AMSTERDAM",216.424,BGETP,NAVTP
"De Pintelaan 185, GENT","Krankenhausstrasse 9, LINZ",994.047,BGETP,AOLTP
"De Pintelaan 185, GENT","Ksaver 200a, Zagreb",1336.967,BGETP,CHROR
"De Pintelaan 185, GENT","St. Juergenstrasse, BREMEN",505.862,BGETP,GBMTP
"De Pintelaan 185, GENT","Klinikstrasse 36, GIESSEN",422.908,BGETP,GGITP
"De Pintelaan 185, GENT","Joseph-Stelzmann-Str. 9, KOELN",257.973,BGETP,GKLTP
"De Pintelaan 185, GENT","Baldingerstrasse, MARBURG/LAHN",459.329,BGETP,GMRTP
"De Pintelaan 185, GENT","Hoppe-Seyler-Strasse 3, TUEBINGEN",614.342,BGETP,GTUTP
"De Pintelaan 185, GENT","Postbus 22660, AMSTERDAM",216.39,BGETP,NAWTP
"De Pintelaan 185, GENT","Waehringer Guertel 18-20, Wien",1154.345,BGETP,AWDTP
"De Pintelaan 185, GENT","J. Huttlera 4, Osijek",1618.823,BGETP,COSTP
"De Pintelaan 185, GENT","Sigmund Freud Strasse 25, BONN-Venusberg",286.767,BGETP,GBOTP
"De Pintelaan 185, GENT","Ernst Grube Strasse 40, HALLE/Saale",660.959,BGETP,GHATP
"De Pintelaan 185, GENT","Ostmerheimerstrasse 200, Koln (Merheim)",271.8,BGETP,GKMTP
"De Pintelaan 185, GENT","Langenbeckstr. 1, Mainz",429.188,BGETP,GMZTP
"De Pintelaan 185, GENT","ZIM - Medizinische Klinik I, WUERZBURG",563.04,BGETP,GWZTP
"De Pintelaan 185, GENT","Hanzeplein 1, Groningen",366.955,BGETP,NGRTP
"De Pintelaan 185, GENT","Abt. Transplantation 09 D, Wien",1156.095,BGETP,AWGTP
"De Pintelaan 185, GENT","Kresimirova 42, Rijeka",1317.902,BGETP,CRITP
"De Pintelaan 185, GENT","Friedrichstrasse 10, Stuttgart",604.512,BGETP,GBWOR
"De Pintelaan 185, GENT","Im Neuenheimer Feld 110, HEIDELBERG",499.013,BGETP,GHBTP
"De Pintelaan 185, GENT","Hellmut-Hartert-Str. 1, KAISERSLAUTERN",418.69,BGETP,GKSTP
"De Pintelaan 185, GENT","Maximilianspl. 2, ERLANGEN",645.417,BGETP,GNBTP
"De Pintelaan 185, GENT","Baross u. 23-25., Budapest",1406.436,BGETP,HBSTP
"De Pintelaan 185, GENT","Albinusdreef 2, LEIDEN",198.811,BGETP,NLBTP
"De Pintelaan 185, GENT","Wilrijkstraat 10, EDEGEM",62.502,BGETP,BANTP
"De Pintelaan 185, GENT","Kispaticeva 12, Zagreb",1335.077,BGETP,CZATP
"De Pintelaan 185, GENT","Marchioninistrasse 15, Muenchen",789.512,BGETP,GBYOR
"De Pintelaan 185, GENT","Martinistrasse 52, HAMBURG",614.698,BGETP,GHGTP
"De Pintelaan 185, GENT","Liebigstrasse 20, LEIPZIG",702.185,BGETP,GLPTP
"De Pintelaan 185, GENT","Schiffgraben 44, Hannover",499.296,BGETP,GNDOR
"De Pintelaan 185, GENT","Moricz Zs. krt. 22., Debrecen",1659.719,BGETP,HDBTP
"De Pintelaan 185, GENT","P. Debyelaan 25, MAASTRICHT",180.669,BGETP,NMSTP
"De Pintelaan 185, GENT","Laarbeeklaan 101, JETTE/BRUSSEL",49.829,BGETP,BBJTP
"De Pintelaan 185, GENT","Zajceva 19, Zagreb",1338.058,BGETP,CZMTP
"De Pintelaan 185, GENT","Fetscherstr. 74, DRESDEN",805.615,BGETP,GDRTP
"De Pintelaan 185, GENT","Vogelsang 105, HANN. MUENDEN",474.754,BGETP,GHMTP
"De Pintelaan 185, GENT","Transplantationsbuero, LUEBECK",672.372,BGETP,GLUTP
"De Pintelaan 185, GENT","Saatwinkler Damm 11-12, Berlin",774.604,BGETP,GNOOR
"De Pintelaan 185, GENT","Rakoczi ut 2., Pecs",1475.086,BGETP,HPCTP
"De Pintelaan 185, GENT","Geert Groote Plein 8, NIJMEGEN",199.725,BGETP,NNYTP
"De Pintelaan 185, GENT","808 Route de Lennik, Brussels",53.367,BGETP,BBRTP
"De Pintelaan 185, GENT","Pauwelstr. 30, AACHEN",196.685,BGETP,GAKTP
"De Pintelaan 185, GENT","Moorenstrasse 5, DUESSELDORF",250.958,BGETP,GDUTP
"De Pintelaan 185, GENT","Stadtfelddamm 65, HANNOVER",509.459,BGETP,GHOTP
"De Pintelaan 185, GENT","Theodor Kutzer Ufer 1-3, MANNHEIM",480.463,BGETP,GMATP
"De Pintelaan 185, GENT","Lindenallee, Essen",252.88,BGETP,GNWOR
"De Pintelaan 185, GENT","Pecsi ut 4., Szeged",1574.099,BGETP,HSZTP
"De Pintelaan 185, GENT","Dr. Molewaterplein 40, ROTTERDAM",153.788,BGETP,NRDTP
